gene,protein,protein_id,gene_id,protein_node_id,expression_organs,expression_levels,expression_confidence,expression_ids
ENSG00000048052,N/A,N/A,gene_ENSG00000048052,N/A,N/A,N/A,N/A,N/A
ENSG00000049130,N/A,N/A,gene_ENSG00000049130,N/A,N/A,N/A,N/A,N/A
ENSG00000094631,N/A,N/A,gene_ENSG00000094631,N/A,N/A,N/A,N/A,N/A
ENSG00000109320,N/A,N/A,gene_ENSG00000109320,N/A,N/A,N/A,N/A,N/A
ENSG00000110427,N/A,N/A,gene_ENSG00000110427,N/A,N/A,N/A,N/A,N/A
ENSG00000116478,N/A,N/A,gene_ENSG00000116478,N/A,N/A,N/A,N/A,N/A
ENSG00000118971,N/A,N/A,gene_ENSG00000118971,N/A,N/A,N/A,N/A,N/A
ENSG00000124762,N/A,N/A,gene_ENSG00000124762,N/A,N/A,N/A,N/A,N/A
ENSG00000141510,N/A,N/A,gene_ENSG00000141510,N/A,N/A,N/A,N/A,N/A
ENSG00000147099,N/A,N/A,gene_ENSG00000147099,N/A,N/A,N/A,N/A,N/A
ENSG00000163517,N/A,N/A,gene_ENSG00000163517,N/A,N/A,N/A,N/A,N/A
ENSG00000167815,N/A,N/A,gene_ENSG00000167815,N/A,N/A,N/A,N/A,N/A
ENSG00000171791,N/A,N/A,gene_ENSG00000171791,N/A,N/A,N/A,N/A,N/A
ENSG00000172465,N/A,N/A,gene_ENSG00000172465,N/A,N/A,N/A,N/A,N/A
ENSG00000184260,N/A,N/A,gene_ENSG00000184260,N/A,N/A,N/A,N/A,N/A
ENSG00000184678,N/A,N/A,gene_ENSG00000184678,N/A,N/A,N/A,N/A,N/A
ENSG00000204469,N/A,N/A,gene_ENSG00000204469,N/A,N/A,N/A,N/A,N/A
ENSG00000211918,N/A,N/A,gene_ENSG00000211918,N/A,N/A,N/A,N/A,N/A
ENSG00000229150,N/A,N/A,gene_ENSG00000229150,N/A,N/A,N/A,N/A,N/A
